Game Turn, From, To, Initiator, Type, SubType, Message
191, 4, 0, 0, DECLARE_FRIEND, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
191, 0, 4, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action
191, 0, 4, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
191, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
191, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
191, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
191, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
191, 4, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
191, 4, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
191, 4, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
191, 4, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
191, 4, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
191, 0, 4, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
191, 0, 4, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
191, 0, 4, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
191, 0, 4, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
191, 4, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
191, 4, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
191, 4, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
191, 0, 1, -1, DECLARE_FRIEND, NONE, INITIAL, Requesting Session (A)
191, 0, 1, 0, DECLARE_FRIEND, NONE, INITIAL, Adding to pending
191, 0, 1, 0, DECLARE_FRIEND, NONE, INITIAL, Broadcasting
191, 0, 1, 0, DECLARE_FRIEND, NONE, INITIAL, Processing Statement
191, 0, 1, 0, DECLARE_FRIEND, NONE, INITIAL, Processing Immediately
191, 0, 1, ?, DECLARE_FRIEND, ffffffff, ?, Sending Action
191, 1, 0, 0, DECLARE_FRIEND, AI_ACCEPT_DEAL, POSITIVE, Adding to pending
191, 1, 0, 0, DECLARE_FRIEND, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
191, 1, 0, 0, DECLARE_FRIEND, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
191, 0, 1, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action
191, 1, 0, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
191, 1, 0, -1, DIPLOMATIC_KUDO, NONE, 00000000, Already has open session!
191, 0, 1, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
191, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
191, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
191, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
191, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
191, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
191, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
191, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
191, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
191, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
191, 1, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
191, 1, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
191, 1, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
191, 0, 1, -1, RESIDENT_EMBASSY, NONE, INITIAL, Requesting Session (A)
191, 0, 1, 0, RESIDENT_EMBASSY, NONE, INITIAL, Adding to pending
191, 0, 1, 0, RESIDENT_EMBASSY, NONE, INITIAL, Broadcasting
191, 0, 1, 0, RESIDENT_EMBASSY, NONE, INITIAL, Processing Statement
191, 0, 1, 0, RESIDENT_EMBASSY, NONE, INITIAL, Processing Immediately
191, 0, 1, ?, SET_EMBASSY, ffffffff, ?, Sending Action
191, 1, 0, 0, RESIDENT_EMBASSY, AI_ACCEPT_DEAL, POSITIVE, Adding to pending
191, 1, 0, 0, RESIDENT_EMBASSY, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
191, 1, 0, 0, RESIDENT_EMBASSY, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
191, 0, 1, ?, SET_EMBASSY, ffffffff, ?, Processing Action
191, 0, 1, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
191, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
191, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
191, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
191, 0, 1, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
191, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
191, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
191, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
191, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
191, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
191, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
191, 1, 0, 0, MAKE_DEAL, POSITIVE, POSITIVE, Processing Statement
191, 1, 0, 0, MAKE_DEAL, POSITIVE, POSITIVE, Processing Immediately
191, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
191, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
